,Date,Org Code,Org name,A&E attendances Type 1,Attendances over 4hrs Type 1,Month,Year
1385,2019-12-01,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16900,1235,12,2019
1386,2019-12-01,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,6635,108,12,2019
1387,2019-12-01,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5936,790,12,2019
1388,2019-12-01,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,13287,1102,12,2019
1389,2019-12-01,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,8117,972,12,2019
1390,2019-12-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,22701,2072,12,2019
1391,2019-12-01,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9202,330,12,2019
1392,2019-12-01,RPA,MEDWAY NHS FOUNDATION TRUST,8351,1078,12,2019
1393,2019-12-01,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10343,1241,12,2019
1394,2019-12-01,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,13891,662,12,2019
1395,2019-12-01,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,5255,6,12,2019
1396,2019-12-01,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,10659,436,12,2019
1397,2019-12-01,RJ6,CROYDON HEALTH SERVICES NHS TRUST,7835,766,12,2019
1398,2019-12-01,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,9972,1079,12,2019
1399,2019-12-01,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7876,483,12,2019
1400,2019-12-01,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9182,786,12,2019
1401,2019-12-01,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11049,1124,12,2019
1402,2019-12-01,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,10171,539,12,2019
1403,2019-12-01,RHU,PORTSMOUTH HOSPITALS NHS TRUST,10570,1019,12,2019
1404,2019-12-01,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,14862,922,12,2019
1405,2019-12-01,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,9812,625,12,2019
1406,2019-12-01,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,6603,994,12,2019
1407,2019-12-01,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,21041,2313,12,2019
1408,2019-12-01,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6105,268,12,2019
1409,2019-12-01,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5893,871,12,2019
1410,2019-12-01,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,9217,39,12,2019
1411,2019-12-01,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9909,602,12,2019
1412,2019-12-01,RBK,WALSALL HEALTHCARE NHS TRUST,7440,437,12,2019
1413,2019-12-01,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,5165,2,12,2019
1414,2019-12-01,RN7,DARTFORD AND GRAVESHAM NHS TRUST,10098,732,12,2019
1415,2019-12-01,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,5895,379,12,2019
1416,2019-12-01,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6251,122,12,2019
1417,2019-12-01,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,6738,245,12,2019
1418,2019-12-01,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,13107,1120,12,2019
1419,2019-12-01,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9027,679,12,2019
1420,2019-12-01,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9521,271,12,2019
1421,2019-12-01,RA3,WESTON AREA HEALTH NHS TRUST,4220,435,12,2019
1422,2019-12-01,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,10277,398,12,2019
1423,2019-12-01,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,22085,1057,12,2019
1424,2019-12-01,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,10143,310,12,2019
1425,2019-12-01,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,17347,1815,12,2019
1426,2019-12-01,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,10524,918,12,2019
1427,2019-12-01,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6183,504,12,2019
1428,2019-12-01,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,10555,708,12,2019
1429,2019-12-01,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,20465,91,12,2019
1430,2019-12-01,RMC,BOLTON NHS FOUNDATION TRUST,9411,583,12,2019
1431,2019-12-01,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,11285,939,12,2019
1432,2019-12-01,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13143,414,12,2019
1433,2019-12-01,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,12911,238,12,2019
1434,2019-12-01,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,11307,87,12,2019
1435,2019-12-01,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4250,88,12,2019
1436,2019-12-01,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,9286,0,12,2019
1437,2019-12-01,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,12867,638,12,2019
1438,2019-12-01,RJ2,LEWISHAM AND GREENWICH NHS TRUST,14764,924,12,2019
1439,2019-12-01,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8130,344,12,2019
1440,2019-12-01,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,9409,371,12,2019
1441,2019-12-01,R1H,BARTS HEALTH NHS TRUST,27443,696,12,2019
1442,2019-12-01,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,10059,832,12,2019
1443,2019-12-01,RWJ,STOCKPORT NHS FOUNDATION TRUST,8168,927,12,2019
1444,2019-12-01,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12184,699,12,2019
1445,2019-12-01,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,6229,0,12,2019
1446,2019-12-01,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,9664,941,12,2019
1447,2019-12-01,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,7658,254,12,2019
1448,2019-12-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,9756,706,12,2019
1449,2019-12-01,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,7080,1074,12,2019
1450,2019-12-01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6383,748,12,2019
1451,2019-12-01,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7345,711,12,2019
1452,2019-12-01,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,16492,1189,12,2019
1453,2019-12-01,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7789,422,12,2019
1454,2019-12-01,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,12204,1954,12,2019
1455,2019-12-01,RNZ,SALISBURY NHS FOUNDATION TRUST,4340,174,12,2019
1456,2019-12-01,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,14559,324,12,2019
1457,2019-12-01,RVJ,NORTH BRISTOL NHS TRUST,8286,990,12,2019
1458,2019-12-01,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,12771,701,12,2019
1459,2019-12-01,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,4871,978,12,2019
1460,2019-12-01,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,12171,849,12,2019
1461,2019-12-01,RKE,WHITTINGTON HEALTH NHS TRUST,9768,407,12,2019
1462,2019-12-01,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,6909,932,12,2019
1463,2019-12-01,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,13362,677,12,2019
1464,2019-12-01,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,13249,170,12,2019
1465,2019-12-01,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,14560,731,12,2019
1466,2019-12-01,RJN,EAST CHESHIRE NHS TRUST,4242,163,12,2019
1467,2019-12-01,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7884,376,12,2019
1468,2019-12-01,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,20803,562,12,2019
1469,2019-12-01,RC1,BEDFORD HOSPITAL NHS TRUST,6623,125,12,2019
1470,2019-12-01,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8186,507,12,2019
1471,2019-12-01,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,15431,1459,12,2019
1472,2019-12-01,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4500,27,12,2019
1473,2019-12-01,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",7436,920,12,2019
1474,2019-12-01,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,31985,4925,12,2019
1475,2019-12-01,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,9480,817,12,2019
1476,2019-12-01,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",15982,107,12,2019
1477,2019-12-01,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,11816,1760,12,2019
1478,2019-12-01,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10075,1782,12,2019
1479,2019-12-01,R1F,ISLE OF WIGHT NHS TRUST,2439,584,12,2019
1480,2019-12-01,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,12701,1576,12,2019
1481,2019-12-01,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,24798,1657,12,2019
1482,2019-12-01,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,3751,187,12,2019
1483,2019-12-01,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8089,797,12,2019
1484,2019-12-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,13576,1035,12,2019
1485,2019-12-01,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4193,15,12,2019
1486,2019-12-01,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,18698,1280,12,2019
1487,2019-12-01,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,6138,1526,12,2019
1488,2019-12-01,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,10923,893,12,2019
1489,2020-12-01,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,10415,1373,12,2020
1490,2020-12-01,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6517,1423,12,2020
1491,2020-12-01,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,3490,561,12,2020
1492,2020-12-01,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5077,1213,12,2020
1493,2020-12-01,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,7808,1324,12,2020
1494,2020-12-01,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,2982,0,12,2020
1495,2020-12-01,RLQ,WYE VALLEY NHS TRUST,4738,1554,12,2020
1496,2020-12-01,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,5272,1376,12,2020
1497,2020-12-01,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,10231,3128,12,2020
1498,2020-12-01,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6551,0,12,2020
1499,2020-12-01,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,4192,796,12,2020
1500,2020-12-01,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,7452,715,12,2020
1501,2020-12-01,RN7,DARTFORD AND GRAVESHAM NHS TRUST,7146,1707,12,2020
1502,2020-12-01,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,4889,1998,12,2020
1503,2020-12-01,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,4593,875,12,2020
1504,2020-12-01,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4993,1441,12,2020
1505,2020-12-01,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,6327,0,12,2020
1506,2020-12-01,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,8335,2607,12,2020
1507,2020-12-01,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,2824,58,12,2020
1508,2020-12-01,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,6320,1751,12,2020
1509,2020-12-01,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7235,1034,12,2020
1510,2020-12-01,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,5049,1583,12,2020
1511,2020-12-01,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,7266,1018,12,2020
1512,2020-12-01,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,9646,2784,12,2020
1513,2020-12-01,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",5076,1670,12,2020
1514,2020-12-01,RVJ,NORTH BRISTOL NHS TRUST,6058,1711,12,2020
1515,2020-12-01,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,7645,2556,12,2020
1516,2020-12-01,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,10356,3041,12,2020
1517,2020-12-01,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,6811,585,12,2020
1518,2020-12-01,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,8479,1624,12,2020
1519,2020-12-01,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9346,1232,12,2020
1520,2020-12-01,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,5539,1870,12,2020
1521,2020-12-01,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,8607,2277,12,2020
1522,2020-12-01,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,14202,3746,12,2020
1523,2020-12-01,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,14051,5017,12,2020
1524,2020-12-01,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,5039,0,12,2020
1525,2020-12-01,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7126,1680,12,2020
1526,2020-12-01,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,24782,8627,12,2020
1527,2020-12-01,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,2977,594,12,2020
1528,2020-12-01,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,6040,2714,12,2020
1529,2020-12-01,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,11816,2431,12,2020
1530,2020-12-01,RJN,EAST CHESHIRE NHS TRUST,3432,997,12,2020
1531,2020-12-01,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,13160,0,12,2020
1532,2020-12-01,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,8855,3089,12,2020
1533,2020-12-01,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,4361,1813,12,2020
1534,2020-12-01,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,5706,1927,12,2020
1535,2020-12-01,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,3769,346,12,2020
1536,2020-12-01,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,13434,5663,12,2020
1537,2020-12-01,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,11271,5149,12,2020
1538,2020-12-01,RBK,WALSALL HEALTHCARE NHS TRUST,5947,1684,12,2020
1539,2020-12-01,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16632,3992,12,2020
1540,2020-12-01,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,9308,0,12,2020
1541,2020-12-01,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,7615,0,12,2020
1542,2020-12-01,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,9195,2976,12,2020
1543,2020-12-01,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7801,707,12,2020
1544,2020-12-01,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,3754,254,12,2020
1545,2020-12-01,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,4310,1133,12,2020
1546,2020-12-01,R1F,ISLE OF WIGHT NHS TRUST,2467,618,12,2020
1547,2020-12-01,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,10935,2357,12,2020
1548,2020-12-01,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",7043,2097,12,2020
1549,2020-12-01,RNZ,SALISBURY NHS FOUNDATION TRUST,3343,620,12,2020
1550,2020-12-01,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7866,2446,12,2020
1551,2020-12-01,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,6694,799,12,2020
1552,2020-12-01,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,12700,0,12,2020
1553,2020-12-01,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,8604,2758,12,2020
1554,2020-12-01,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,6911,2186,12,2020
1555,2020-12-01,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,9954,2954,12,2020
1556,2020-12-01,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,10284,2747,12,2020
1557,2020-12-01,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,6638,1623,12,2020
1558,2020-12-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,9995,1620,12,2020
1559,2020-12-01,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,5730,1362,12,2020
1560,2020-12-01,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,6127,1722,12,2020
1561,2020-12-01,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,6453,2525,12,2020
1562,2020-12-01,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,4693,854,12,2020
1563,2020-12-01,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,11102,3531,12,2020
1564,2020-12-01,RCF,AIREDALE NHS FOUNDATION TRUST,4347,624,12,2020
1565,2020-12-01,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,11225,4293,12,2020
1566,2020-12-01,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,8815,2759,12,2020
1567,2020-12-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,6991,1984,12,2020
1568,2020-12-01,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,6693,1798,12,2020
1569,2020-12-01,RMC,BOLTON NHS FOUNDATION TRUST,7577,2235,12,2020
1570,2020-12-01,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10125,1555,12,2020
1571,2020-12-01,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,4115,1911,12,2020
1572,2020-12-01,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,12171,0,12,2020
1573,2020-12-01,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,9849,3131,12,2020
1574,2020-12-01,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,18871,5856,12,2020
1575,2020-12-01,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,5744,1758,12,2020
1576,2020-12-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,16260,5253,12,2020
1577,2020-12-01,RWJ,STOCKPORT NHS FOUNDATION TRUST,6879,2329,12,2020
1578,2020-12-01,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,9651,2786,12,2020
1579,2020-12-01,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,5843,3357,12,2020
1580,2020-12-01,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,8171,2845,12,2020
1581,2020-12-01,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,15423,4140,12,2020
1582,2020-12-01,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,9284,1602,12,2020
1583,2020-12-01,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,8540,1437,12,2020
1584,2020-12-01,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,7291,0,12,2020
1585,2020-12-01,RJ2,LEWISHAM AND GREENWICH NHS TRUST,10969,3839,12,2020
1586,2020-12-01,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,8873,0,12,2020
1587,2020-12-01,RJ6,CROYDON HEALTH SERVICES NHS TRUST,9040,2460,12,2020
1588,2020-12-01,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,4848,817,12,2020
1589,2020-12-01,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,7186,2373,12,2020
1590,2020-12-01,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,5333,1567,12,2020
1591,2020-12-01,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,8935,1146,12,2020
1592,2020-12-01,RH5,SOMERSET NHS FOUNDATION TRUST,5050,991,12,2020
1593,2020-12-01,RKE,WHITTINGTON HEALTH NHS TRUST,7748,1382,12,2020
1594,2020-12-01,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,5964,1820,12,2020
1595,2020-12-01,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",9894,5925,12,2020
1596,2020-12-01,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,6198,0,12,2020
1597,2020-12-01,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,4116,1267,12,2020
1598,2020-12-01,RPA,MEDWAY NHS FOUNDATION TRUST,5222,2336,12,2020
1599,2020-12-01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,5086,515,12,2020
1600,2020-12-01,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,10076,2528,12,2020
1601,2020-12-01,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9108,2162,12,2020
1602,2020-12-01,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8651,4100,12,2020
1603,2020-12-01,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,8202,1929,12,2020
1604,2020-12-01,R1H,BARTS HEALTH NHS TRUST,18701,6285,12,2020
1605,2020-12-01,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,3709,51,12,2020
1606,2020-12-01,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,6586,2234,12,2020
1607,2020-12-01,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,7723,2821,12,2020
1608,2020-12-01,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,8439,3084,12,2020
1609,2020-12-01,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,14706,0,12,2020
1610,2020-12-01,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,3534,560,12,2020
1611,2020-12-01,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,11880,4353,12,2020
1612,2020-12-01,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,7873,3903,12,2020
1613,2020-12-01,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,4171,2168,12,2020
1614,2020-12-01,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,21916,5338,12,2020
1615,2020-12-01,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,10972,0,12,2020
1616,2022-08-01,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,6724,0,08,2022
1617,2022-08-01,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,11249,5869,08,2022
1618,2022-08-01,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,12176,3707,08,2022
1619,2022-08-01,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,12452,6708,08,2022
1620,2022-08-01,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,7737,0,08,2022
1621,2022-08-01,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,10888,5188,08,2022
1622,2022-08-01,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10945,3602,08,2022
1623,2022-08-01,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,7907,3450,08,2022
1624,2022-08-01,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,14270,8489,08,2022
1625,2022-08-01,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,8528,3217,08,2022
1626,2022-08-01,RVJ,NORTH BRISTOL NHS TRUST,8373,3285,08,2022
1627,2022-08-01,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,3761,0,08,2022
1628,2022-08-01,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,16366,2538,08,2022
1629,2022-08-01,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,7223,4540,08,2022
1630,2022-08-01,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,11435,6043,08,2022
1631,2022-08-01,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,10226,4316,08,2022
